Name,Gender
40 George Square,Unknown
A. H. de Oliveira Marques,Unknown
A. J. Ayer,Unknown
A. J. P. Taylor,Unknown
Adam Ferguson,Male
Adam František Kollár,Male
Adam Müller,Male
Adam Smith,Male
Adam Ulam,Male
Adam Weishaupt,Male
Adam Zamoyski,Male
Adamantios Korais,Male
Adi Shankara,Male
Adriaan Koerbagh,Male
Aesthetic Realism,Unknown
Afrikan Spir,Unknown
Ahmad Fardid,Male
Al-Farabi,Unknown
Al-Ghazali,Unknown
Alan Bullock,Male
Albert Camus,Male
Albert Einstein,Male
Alberto Fujimori,Male
Aleksandr Solzhenitsyn,Male
Alexander Donaldson (bookseller),Male
Alexander Gottlieb Baumgarten,Male
Alexander Pope,Male
Alexander Pruss,Male
Alexander Radishchev,Male
Alexander Rosenberg,Male
Alexander Stoddart,Male
Alexandru D. Xenopol,Male
Alexis de Tocqueville,Male
Alfred-Maurice de Zayas,Unknown
Alfred Kinsey,Male
Alfred North Whitehead,Male
Algernon Sidney,Unknown
Ali Akbar Rashad,Male
Ali Khamenei,Male
Ali Shariati,Male
Alison Gopnik,Female
Alistair Horne,Male
Allan Gibbard,Male
Allan Ramsay (artist),Male
Alvin Goldman,Male
Alvin Plantinga,Male
Ananda Coomaraswamy,Male
Andrew Millar,Male
"Andrew Roberts, Baron Roberts of Belgravia",Male
Andrew Roberts (historian),Male
Andrew Sullivan,Male
Andrew Whiten,Male
Anil Gupta (philosopher),Male
Anne Applebaum,Female
Anne Campbell (academic),Female
Anne Fernald,Female
Anne Robert Jacques Turgot,Female
"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",Male
Anthony Collins (philosopher),Male
Anthony Kenny,Male
Anthony Ludovici,Male
Anthony Stevens (Jungian analyst),Male
Antiochus Kantemir,Unknown
Antoine Augustin Calmet,Male
Antonia Fraser,Female
Antonie van Leeuwenhoek,Female
Antonio Genovesi,Male
Antonio Gramsci,Male
Antonio Negri,Male
Antony Beevor,Male
Antun Knežević,Male
António de Oliveira Salazar,Male
Arnold Gehlen,Male
Arnold Lunn,Male
Arnold Vinnius,Male
Arthur Balfour,Male
Arthur Moeller van den Bruck,Male
Arthur Schopenhauer,Male
Asa Briggs,Male
Augustin Barruel,Male
Augustine of Hippo,Female
Augusto Pinochet,Male
Aurelio José Figueredo,Male
Avram Mrazović,Male
Ayn Rand,Female
B. F. Skinner,Unknown
B. R. Ambedkar,Unknown
Balthasar Bekker,Male
Barbara Jelavich,Female
Barry Stroud,Male
Bartolomé Bennassar,Male
Bas van Fraassen,Male
Benedetto Croce,Male
Benjamin Constant,Male
Benjamin Disraeli,Male
Benjamin Franklin,Male
Benjamin Netanyahu,Male
Benjamin Tucker,Male
Bernard Bailyn,Male
Bernard Crespi,Male
Bernard Le Bovier de Fontenelle,Male
Bernard Mandeville,Male
Bernard Nieuwentyt,Male
Bernard Williams,Male
Bertrand Russell,Male
Bibcode (identifier),Unknown
Bogo Grafenauer,Unknown
Boris Johnson,Male
Brian MacWhinney,Male
Bruce J. Ellis,Male
Bryan Magee,Male
Béla Balázs,Male
C. D. Broad,Unknown
C. S. Lewis,Unknown
C. V. Wedgwood,Unknown
Calton Hill,Unknown
Camilla Tominey,Female
Carel van Schaik,Male
Carl Benjamin,Male
Carl Grimberg,Male
Carl Gustaf Emil Mannerheim,Male
Carl Gustav Hempel,Male
Carl Schmitt,Male
Carlo Ginzburg,Male
Catherine the Great,Female
Catholic Herald,Unknown
Cesare Beccaria,Male
Charles Baudelaire,Male
Charles Bonnet,Male
Charles Darwin,Male
Charles Fourier,Male
Charles Harding Firth,Male
Charles Hartshorne,Male
Charles III of Spain,Male
Charles King (professor of international affairs),Male
Charles Maurras,Male
"Charles Moore, Baron Moore of Etchingham",Male
Charles Sanders Peirce,Male
Charles Scribner's Sons,Male
Charles Taylor (philosopher),Male
Charles Veitch,Male
Charles de Gaulle,Male
Chiang Kai-shek,Unknown
Christiaan Huygens,Male
Christian Thomasius,Male
Christian Wolff (philosopher),Male
Christine Korsgaard,Female
Christoph Martin Wieland,Male
Christopher Badcock,Male
Christopher Boehm,Male
Christopher Dawson,Male
Christopher Harvie,Male
Christopher Lasch,Male
Clan Keith,Unknown
Clarendon Press,Unknown
Claude Adrien Helvétius,Male
Claudia Koonz,Female
Claus Wedekind,Male
Clement Greenberg,Male
Clive Bell,Male
