Name,Gender
A. I. Sabra,Unknown
A. J. Ayer,Unknown
Abraham Lincoln,Male
Adam Smith,Male
Adamantios Korais,Male
Al-Farabi,Unknown
Al-Ghazali,Unknown
Alan Chalmers,Male
Alan Turing,Male
Albert Einstein,Male
Albert Schweitzer,Male
Alexander Bain (philosopher),Male
Alexander Bogdanov,Male
Alexander Pruss,Male
Alexis de Tocqueville,Male
Alfred Adler,Male
Alfred Deakin,Male
Alfred North Whitehead,Male
Alfred Tarski,Male
Ali Shariati,Male
Alice Crary,Female
Alvar Aalto,Male
Alvin Goldman,Male
Alvin Plantinga,Male
Amartya Sen,Unknown
Andy Clark,Male
Anne Robert Jacques Turgot,Female
Antonio Gramsci,Male
Antonio Negri,Male
Arif Ahmed (philosopher),Male
Arthur Eddington,Male
Arthur Holly Compton,Male
Arthur Koestler,Male
Ayn Rand,Female
B. R. Ambedkar,Unknown
Barack Obama,Male
Barry Stroud,Male
Bas van Fraassen,Male
Benedetto Croce,Male
Benito Juárez,Male
Benjamin Constant,Male
Benjamin Franklin,Male
Benjamin Tucker,Male
Bernard Williams,Male
Bertil Ohlin,Male
Bertrand Russell,Male
Bibcode (identifier),Unknown
Bruno Latour,Male
Bryan Magee,Male
Béla Kun,Male
C. D. Broad,Unknown
C. P. Snow,Unknown
Carl Gustav Hempel,Male
Carl Schmitt,Male
Casimir Lewy,Male
Cesare Beccaria,Male
Charles Darwin,Male
Charles Fourier,Male
Charles Leonard Hamblin,Male
Charles Maurras,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Christine Korsgaard,Female
Cora Diamond,Female
Cyril Höschl,Male
Daniel Dennett,Male
Danilo Dolci,Male
Dante Alighieri,Male
Dario Fo,Male
"Darwin College, Cambridge",Male
Daubert standard,Unknown
David Chalmers,Male
David Hume,Male
David Lewis (philosopher),Male
David Lloyd George,Male
David Malet Armstrong,Male
David Miller (philosopher),Male
David Ricardo,Male
David Stove,Male
De re publica,Unknown
Deirdre McCloskey,Female
Derek Parfit,Male
Domingo Faustino Sarmiento,Male
Dominique Pire,Unknown
Donald A. Gillies,Male
Donald Davidson (philosopher),Male
E. P. Thompson,Unknown
Edmund Burke,Male
Edmund Gettier,Male
Edmund Husserl,Male
Eduard Bernstein,Male
Eleftherios Venizelos,Male
Elizabeth II of the United Kingdom,Female
Emmanuel Macron,Male
Eric Voegelin,Male
Erich Fromm,Male
Ernest Nagel,Male
Ernest Renan,Male
Ernest Sosa,Male
Ernesto Laclau,Male
Ernst Cassirer,Male
Ernst Gombrich,Male
Ernst Laas,Male
Ernst Mach,Male
Eugenio Barba,Male
Ferenc Deák (politician),Male
Francis Bacon,Male
Francis Fukuyama,Male
Francisco I. Madero,Male
Francisco Suárez,Male
Frank Cameron Jackson,Male
Frank P. Ramsey,Male
Franklin D. Roosevelt,Male
Franz Brentano,Male
François Guizot,Male
Fred Dretske,Male
Friedrich Engels,Male
Friedrich Hayek,Male
Friedrich List,Male
Friedrich Nietzsche,Male
Friedrich Waismann,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Gaetano Mosca,Male
Gaston Bachelard,Male
Gayatri Chakravorty Spivak,Female
Gemistos Plethon,Unknown
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Soros,Male
Georges Sorel,Male
German Reich,Male
Gilbert Ryle,Male
Giorgio Agamben,Male
Giovanni Gentile,Male
Giuseppe Mazzini,Male
Giuseppe Peano,Male
Gopal Krishna Gokhale,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Gustave Le Bon,Male
Guy Verhofstadt,Male
György Lukács,Male
Günter Grass,Male
Günter Wächtershäuser,Male
Hannah Arendt,Female
Hans-Hermann Hoppe,Unknown
Hans Hahn (mathematician),Male
Hans Magnus Enzensberger,Male
Hans Reichenbach,Male
Harriet Martineau,Female
Harvey Mansfield,Male
Helmut Schmidt,Male
Henri Bergson,Male
Henri Poincaré,Male
Henri de Saint-Simon,Male
Henry David Thoreau,Male
"Henry St John, 1st Viscount Bolingbroke",Male
Herbert Marcuse,Male
Herbert Spencer,Male
Hermann Gmeiner,Male
Hobbes's moral and political philosophy,Unknown
Hu Shih,Unknown
Hugo Kołłątaj,Male
Ian Hacking,Male
Ian Jarvie,Male
