Name,Gender
A. J. Ayer,Unknown
Abdullah Öcalan,Male
Abraham Lincoln,Male
Adam Ferguson,Male
Adam Smith,Male
Adam Weishaupt,Male
Adamantios Korais,Male
Adriaan Koerbagh,Male
Al-Farabi,Unknown
Al-Ghazali,Unknown
Albert Camus,Male
Albert Jay Nock,Male
Alexander Hamilton,Male
Alexander Pope,Male
Alexander Popham,Male
Alexander Radishchev,Male
Alexis de Tocqueville,Male
Alexius Meinong,Unknown
Alfred Deakin,Male
Alfred North Whitehead,Male
Algernon Sidney,Unknown
Ali Shariati,Male
Alister McGrath,Male
Alvin Goldman,Male
Alvin Plantinga,Male
Amartya Sen,Unknown
Andrew Millar,Male
Andrés Bello,Male
Andy Slaughter,Male
Anil Gupta (philosopher),Male
Ann McKechin,Female
Anne Robert Jacques Turgot,Female
"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",Male
"Anthony Ashley Cooper, 1st Earl of Shaftesbury",Male
Anthony Collins (philosopher),Male
Anthony Grafton,Male
Anthony Wayne,Male
Antiochus Kantemir,Unknown
Antonie van Leeuwenhoek,Female
Antonio Genovesi,Male
Antonio Gramsci,Male
Antonio Negri,Male
Artemas Ward,Unknown
Arthur Schopenhauer,Male
Atlas Shrugged,Unknown
Auberon Herbert,Unknown
Augustine of Hippo,Female
Avram Mrazović,Male
Ayn Rand,Female
B. R. Ambedkar,Unknown
Balthasar Bekker,Male
Barack Obama,Male
Barry Goldwater,Male
Battle of Brandywine,Unknown
Benedetto Croce,Male
Benedict Arnold,Male
Benito Juárez,Male
Benjamin Constant,Male
Benjamin Franklin,Male
Benjamin Lincoln,Male
Benjamin Rush,Male
Benjamin Tucker,Male
Bernard Bailyn,Male
Bernard Bolzano,Male
Bernard Crick,Male
Bernard Le Bovier de Fontenelle,Male
Bernard Mandeville,Male
Bernard Nieuwentyt,Male
Bertil Ohlin,Male
Bertrand Russell,Male
Bethan Sayed,Female
Bill Etherington,Male
Bill Wilson (Scottish politician),Male
Biopiracy,Unknown
C. B. Macpherson,Unknown
Caesar Rodney,Unknown
Calvin Coolidge,Male
Carl L. Becker,Male
Carl Schmitt,Male
Carlo Cattaneo,Male
Carlo Lottieri,Male
Caroline Lucas,Female
Cass Sunstein,Female
Catherine the Great,Female
Cesare Beccaria,Male
Charles Bonnet,Male
Charles Carroll of Carrollton,Male
"Charles Cornwallis, 1st Marquess Cornwallis",Male
Charles Fourier,Male
"Charles Gravier, comte de Vergennes",Male
"Charles Henri Hector, Count of Estaing",Male
Charles III of Spain,Male
Charles Lee (general),Male
Charles Maurras,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
"Charles Watson-Wentworth, 2nd Marquess of Rockingham",Male
Charles de Gaulle,Male
Chew Magna,Unknown
Chris Mullin (politician),Male
"Christ Church Cathedral, Oxford",Male
Christiaan Huygens,Male
Christian Thomasius,Male
Christian Wolff (philosopher),Male
Christoph Bode,Male
Christoph Martin Wieland,Male
Clarendon Press,Unknown
Claude Adrien Helvétius,Male
Clive Lewis (politician),Male
Common Sense,Unknown
Daniel Guérin,Male
Daniel Hannan,Male
Dante Alighieri,Male
David Bostock (philosopher),Male
David D. Friedman,Male
David Hartley (philosopher),Male
David Harvey,Male
David Hume,Male
David Lewis (philosopher),Male
David Lloyd George,Male
David Malet Armstrong,Male
David Ricardo,Male
De re publica,Unknown
Denis Diderot,Male
Denis Fonvizin,Male
Dennis Skinner,Male
Derek Hatton,Male
Derek Parfit,Male
Dick Taverne,Male
Dimitrie Cantemir,Male
Domingo Faustino Sarmiento,Male
Donald Davidson (philosopher),Male
Dositej Obradović,Unknown
Doug Naysmith,Male
Dugald Stewart,Male
Duncan Pritchard,Male
Earl of Lovelace,Male
Edmund Burke,Male
Edmund Gettier,Male
Eduard Bernstein,Male
Edward Gibbon,Male
Edward N. Zalta,Male
Edward Pococke,Male
Eleftherios Venizelos,Male
Elin Jones,Female
Emma Goldman,Female
Emmanuel Macron,Male
Eric M. Nelson,Male
Eric Nelson (historian),Male
Eric Voegelin,Male
Erich Fromm,Male
Ernest Renan,Male
Ernest Sosa,Male
Ernesto Laclau,Male
Ernst Cassirer,Male
Esek Hopkins,Unknown
Ethan Allen,Male
Ethel Mannin,Female
Farhud,Unknown
Ferdinando Galiani,Male
Ferenc Deák (politician),Male
Firmin Abauzit,Male
Francesco Mario Pagano,Male
Francis Bacon,Male
Francis Drake,Male
Francis Fukuyama,Male
Francis Hutcheson (philosopher),Male
Francisco I. Madero,Male
Francisco Suárez,Male
Frank Van Dun,Male
Franklin D. Roosevelt,Male
François Guizot,Male
François Joseph Paul de Grasse,Male
François Quesnay,Male
Fred Dretske,Male
"Frederick North, Lord North",Male
Freeman on the land movement,Male
Friedrich Engels,Male
Friedrich Fröbel,Male
Friedrich Hayek,Male
Friedrich List,Male
Friedrich Nietzsche,Male
Friedrich Schiller,Male
Friedrich Wilhelm von Steuben,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Gabriel Bonnot de Mably,Male
Gaetano Mosca,Male
Garrett Hardin,Male
Gary Johnson,Male
Gemistos Plethon,Unknown
Georg Christoph Lichtenberg,Male
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Claghorn,Male
"George Germain, 1st Viscount Sackville",Male
George III,Male
George Mason,Male
"George Rodney, 1st Baron Rodney",Male
George Rogers Clark,Male
George Washington,Male
George Washington's crossing of the Delaware River,Male
"Georges-Louis Leclerc, Comte de Buffon",Unknown
Georges Sorel,Male
Gerald Cohen,Male
Gerry Adams,Male
Gheorghe Șincai,Male
Giambattista Vico,Male
Gift economy,Unknown
Gilbert Ryle,Male
"Gilbert du Motier, Marquis de Lafayette",Male
Gilles Deleuze,Male
Gillian Mackay,Female
Giorgio Agamben,Male
Giovanni Gentile,Male
Giovanni Spadolini,Male
Giuseppe Garibaldi,Male
Giuseppe Mazzini,Male
Glenda Jackson,Female
Glenn W. Most,Male
Godfrey Kneller,Male
Gopal Krishna Gokhale,Male
Gordon Riots,Male
Gottfried Wilhelm Leibniz,Male
Grafton ministry,Unknown
Grover Cleveland,Male
Gustave Le Bon,Male
Gustave de Molinari,Male
"Guy Carleton, 1st Baron Dorchester",Male
Guy Verhofstadt,Male
Hannah Arendt,Female
Hans-Hermann Hoppe,Unknown
Harriet Martineau,Female
Harvey Mansfield,Male
Henri Bergson,Male
Henri H. Stahl,Male
Henri de Saint-Simon,Male
"Henry Clinton (British Army officer, born 1730)",Male
Henry David Thoreau,Male
Henry George,Male
Henry Knox,Male
Henry Laurens,Male
"Henry St John, 1st Viscount Bolingbroke",Male
Herbert Marcuse,Male
Herbert Spencer,Male
Hermann Lotze,Male
Hilary Kornblith,Female
Hobbes's moral and political philosophy,Unknown
Holly Brewer,Female
Hu Shih,Unknown
Huerta,Unknown
Hugh Blair,Male
Hugo Kołłątaj,Male
Ian Davidson (Scottish politician),Male
Ibn Khaldun,Unknown
Ibn Tufayl,Unknown
Imago Dei,Unknown
Immanuel Kant,Male
Isaac Newton,Male
Isaiah Berlin,Male
Jacobin (politics),Unknown
Jacques Hébert,Male
James Beattie (poet),Male
James Boswell,Male
"James Burnett, Lord Monboddo",Male
James Burnham,Male
James Connolly,Male
James Harrington (author),Male
James Hutton,Male
James Madison,Male
James Mill,Male
James Pryor,Male
James Tully (philosopher),Male
James VI and I,Male
Jan Swammerdam,Male
Janusz Korwin-Mikke,Male
Jason Brennan,Male
Javier Milei,Male
Jawaharlal Nehru,Unknown
Jay Treaty,Male
"Jean-Baptiste Donatien de Vimeur, comte de Rochambeau",Unknown
Jean-Jacques Burlamaqui,Unknown
Jean-Jacques Rousseau,Unknown
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jean Bodin,Male
Jean Meslier,Male
Jean Piaget,Male
Jean le Rond d'Alembert,Male
Jefferson's Birthday,Unknown
"Jeffery Amherst, 1st Baron Amherst",Male
Jeremy Bentham,Male
Jeremy Waldron,Male
Jerrold Seigel,Male
Jo Jorgensen,Unknown
Johann Friedrich Herbart,Male
Johann Gottfried Herder,Male
Johann Gottlieb Fichte,Male
Johann Heinrich Pestalozzi,Male
Johann Wolfgang von Goethe,Male
Johann de Kalb,Male
John Adams,Male
John Barry (naval officer),Male
John Biddle (Unitarian),Male
John Burgoyne,Male
John Calvin,Male
"John Campbell, of Strachur",Male
"John Dalberg-Acton, 1st Baron Acton",Male
John Dewey,Male
John Dickinson,Male
John Dryden,Male
John Dunn (political theorist),Male
John F. Kennedy,Male
John Greenhill,Male
John Griffiths (Welsh politician),Male
John Hancock,Male
John Hanson,Male
John Jay,Male
John Locke (disambiguation),Male
John Maynard Keynes,Male
John McDonnell,Male
John McDowell,Male
John Milton,Male
"John Montagu, 4th Earl of Sandwich",Male
John Owen (theologian),Male
John Paul Jones,Male
John Philipps Kenyon,Male
John Playfair,Male
John Prescott,Male
John Rawls,Male
