Name,Gender
Aesthetic Realism,Unknown
Albert Camus,Male
Alexander Gottlieb Baumgarten,Male
Alexandre Kojève,Male
Alexandre Koyré,Male
Allen Newell,Male
Ananda Coomaraswamy,Male
Antonio Gramsci,Male
Antonio Negri,Male
Arthur Schopenhauer,Male
Ayn Rand,Female
B. A.,Unknown
BA Degree,Unknown
Benedetto Croce,Male
Bruno Latour,Male
Bryan Magee,Male
Béla Balázs,Male
Carl Schmitt,Male
Charles Baudelaire,Male
Charles Guignon,Male
Charles Taylor (philosopher),Male
Claude Lévi-Strauss,Male
Clement Greenberg,Male
Clive Bell,Male
Daniel Crevier,Male
Dasein,Unknown
David Hume,Male
E. Harris Harbison,Unknown
Edith Stein,Female
Edmund Burke,Male
Edmund Husserl,Male
Eduard Hanslick,Male
Edward Said,Male
Emmanuel Levinas,Male
Eric Kaplan,Male
Ernst Cassirer,Male
Fernando Flores,Male
Festschrift,Unknown
Francis Hutcheson (philosopher),Male
Frantz Fanon,Male
Fredric Jameson,Male
Friedrich Engels,Male
Friedrich Nietzsche,Male
Friedrich Schiller,Male
Friedrich Wilhelm Joseph Schelling,Male
Félix Guattari,Male
Gabriel Marcel,Male
Garry Wills,Male
Gaston Bachelard,Male
Georg Wilhelm Friedrich Hegel,Male
George Lakoff,Male
George Orwell,Male
George Santayana,Male
Georges Bataille,Male
Gilles Deleuze,Male
Giorgio Agamben,Male
Giorgio Vasari,Male
Giovanni Gentile,Male
Guy Debord,Male
György Lukács,Male
Hannah Arendt,Female
Hans Urs von Balthasar,Male
Henri Bergson,Male
Henri Lefebvre,Male
Herbert A. Simon,Male
Herbert Marcuse,Male
Hubert Dreyfus's views on artificial intelligence,Male
Hélène Cixous,Female
I. A. Richards,Unknown
Immanuel Kant,Male
Jacques Derrida,Male
Jacques Lacan,Male
Jacques Maritain,Male
Jacques Rancière,Male
Jean-Luc Nancy,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Johann Gottlieb Fichte,Male
Johann Joachim Winckelmann,Male
Johann Wolfgang von Goethe,Male
John Dewey,Male
John Ruskin,Male
José Ortega y Gasset,Male
Judith Butler,Female
Julia Kristeva,Female
Jürgen Habermas,Male
Kama,Female
Karl Jaspers,Male
Karl Marx,Male
Leo Strauss,Male
Leon Battista Alberti,Male
Leszek Kołakowski,Male
Liu Xie,Unknown
Louis Althusser,Male
"Magee, Bryan",Unknown
Mark Fisher,Male
Mark Johnson (professor),Male
Mark Wrathall,Male
Martin Buber,Male
Martin Heidegger,Male
Maurice Blanchot,Male
Maurice Merleau-Ponty,Male
Max Weber,Male
Michel Foucault,Male
Michel Serres,Male
Mike Cooley (engineer),Male
Nelson Goodman,Male
Niklas Luhmann,Male
Oscar Wilde,Male
Oswald Spengler,Male
Paul Klee,Male
Paul Rabinow,Male
Paul Ricœur,Male
Paul de Man,Male
Peter Sloterdijk,Male
Pierre Bourdieu,Male
Professor Hubert Farnsworth,Unknown
R. G. Collingwood,Unknown
Raymond Aron,Male
Raymond Williams,Male
Rodney Brooks,Male
Roger Fry,Male
Roger Scruton,Male
Roland Barthes,Male
Roman Ingarden,Male
Samuel Taylor Coleridge,Male
Sean D. Kelly,Male
Sean Dorrance Kelly,Male
Stuart Dreyfus,Male
Susanne Langer,Female
Svend Brinkmann,Male
Tao Ruspoli,Unknown
Terry Eagleton,Male
Theodor W. Adorno,Male
Thomas Aquinas,Male
Vincent C. Müller,Male
W. V. O. Quine,Unknown
Walter Benjamin,Male
Walter Pater,Male
Wilhelm Dilthey,Male
Zygmunt Bauman,Male
