Name,Gender
A. A. Luce,Unknown
A. J. Ayer,Unknown
Abraham Dawson (Dean of Dromore),Male
Abraham Robinson,Male
Ada or Ardor: A Family Chronicle,Female
Adam Ferguson,Male
Adam Smith,Male
Adam Weishaupt,Male
Adamantios Korais,Male
Adriaan Koerbagh,Male
Albert Einstein,Male
Alciphron (book),Unknown
Alexander Campbell Fraser,Male
Alexander Pope,Male
Alexander Radishchev,Male
Alexius Meinong,Unknown
Alfred North Whitehead,Male
Algernon Sidney,Unknown
Alvin Goldman,Male
Alvin Plantinga,Male
Andrew Smyly,Male
Anil Gupta (philosopher),Male
Anne Robert Jacques Turgot,Female
"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",Male
Anthony Collins (philosopher),Male
Antiochus Kantemir,Unknown
Antonie van Leeuwenhoek,Female
Antonio Genovesi,Male
Arthur Collier,Male
Arthur Forde,Male
Arthur Schopenhauer,Male
Arthur Smyth,Male
Augustine of Hippo,Female
Avram Mrazović,Male
Balthasar Bekker,Male
Benjamin Franklin,Male
Bernard Bolzano,Male
Bernard Le Bovier de Fontenelle,Male
Bernard Mandeville,Male
Bernard Nieuwentyt,Male
Bertrand Russell,Male
Brian Kerr (priest),Male
C. D. Broad,Unknown
Catherine the Great,Female
Cesare Beccaria,Male
"Charles Agar, 1st Earl of Normanton",Male
Charles Bonnet,Male
Charles Crow,Male
Charles III of Spain,Male
Charles Sanders Peirce,Male
Charles Seymour (priest),Male
Charles Warburton,Male
"Christ Church Cathedral, Oxford",Male
Christiaan Huygens,Male
Christian Thomasius,Male
Christian Wolff (philosopher),Male
Christoph Martin Wieland,Male
Clarendon Press,Unknown
Claude Adrien Helvétius,Male
Colin Murray Turbayne,Male
Coote Ormsby,Unknown
Daniel Bagot,Male
David Bostock (philosopher),Male
David Chillingworth,Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David Sherry (philosopher),Male
Dean of Derry,Male
Dean of Dromore,Male
Denis Diderot,Male
Denis Fonvizin,Male
Derek Parfit,Male
Dimitrie Cantemir,Male
"Diocese of Cork, Cloyne and Ross",Unknown
Don Juan (poem),Male
Donald Davidson (philosopher),Male
Dositej Obradović,Unknown
Dugald Stewart,Male
Duncan Pritchard,Male
Dysart Castle,Unknown
Edmond Halley,Male
Edmund Burke,Male
Edmund F. Robertson,Male
Edmund Gettier,Male
Edmund Husserl,Male
Edward Albert Myles,Male
Edward Chaney,Male
Edward Emily (priest),Male
Edward Gibbon,Male
Edward Jones (bishop),Male
Edward N. Zalta,Male
Edward Synge (bishop of Elphin),Male
Edwin Boring,Male
Edwin Gaustad,Male
Ernest Sosa,Male
Ernst Mach,Male
Esther Vanhomrigh,Female
Ferdinando Galiani,Male
Firmin Abauzit,Male
Francesco Mario Pagano,Male
Francis Bacon,Male
Francis Hutcheson (philosopher),Male
Francisco Suárez,Male
François Quesnay,Male
Fred Dretske,Male
Frederick H. Billings,Male
"Frederick Hervey, 4th Earl of Bristol",Male
Friedrich Nietzsche,Male
Friedrich Schiller,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Gabriel Bonnot de Mably,Male
Geoffrey J. Warnock,Male
Geoffrey Rhodes (priest),Male
Geoffrey Warnock,Male
Georg Christoph Lichtenberg,Male
Georg Wilhelm Friedrich Hegel,Male
George Beaumont (Dean of Derry),Male
George Berkeley (disambiguation),Male
George Chinnery (bishop),Male
George Galbraith (priest),Male
George Good,Male
George Holland (priest),Male
George Mason,Male
George Robinson (1737–1801),Male
George Stone (bishop),Male
George Synge,Male
"Georges-Louis Leclerc, Comte de Buffon",Unknown
Gheorghe Șincai,Male
Giambattista Vico,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Gottfried Wilhelm Leibniz,Male
Henri Bergson,Male
Henry Hughes (priest),Male
Henry Leslie (Dean of Dromore),Male
Henry Maule (bishop),Male
Henry Stewart (archdeacon of Dromore),Male
Henry Sutton (priest),Male
Henry Swanzy (priest),Male
Herman Melville,Male
Hermann Lotze,Male
Hilary Kornblith,Female
Hugh Blair,Male
Hugo Kołłątaj,Male
Ian Stewart (mathematician),Male
Immanuel Kant,Male
Isaac Newton,Male
Isaac Plume,Male
James Beattie (poet),Male
James Boswell,Male
"James Burnett, Lord Monboddo",Male
James Harrington (author),Male
James Hutton,Male
James Joyce,Male
James Madison,Male
James Mahon (priest),Male
James Margetson,Male
James Mill,Male
James Pryor,Male
James Saurin,Male
James Stopford (bishop),Male
Jan Swammerdam,Male
Jean-Jacques Burlamaqui,Unknown
Jean-Jacques Rousseau,Unknown
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jean Meslier,Male
Jean le Rond d'Alembert,Male
Jeffry Lefroy,Male
Jeremy Bentham,Male
Johann Gottfried Herder,Male
Johann Wolfgang von Goethe,Male
John Appleby (priest),Male
John Bolton (priest),Male
John Brinkley (astronomer),Male
John Daniel Wild,Male
John Dewey,Male
John Forster (Chief Justice),Male
John Gwynn (Syriacist),Male
John Hamilton (priest),Male
John Hume (priest),Male
John Lesley (priest),Male
John Leslie (Dean of Dromore),Male
John Locke,Male
John McDowell,Male
John Milton,Male
John Playfair,Male
John Pooley,Male
John Smibert,Male
John Smybert,Male
John Toland,Male
John Wall (Dean of Dromore),Male
John William Cousin,Male
Jonathan Swift,Male
Jorge Luis Borges,Male
Joseph Addison,Male
Joseph Black,Male
"Joseph Bourke, 3rd Earl of Mayo",Male
Joseph Priestley,Male
Joshua Reynolds,Male
José Cadalso,Male
Julian Ursyn Niemcewicz,Male
Julien Offray de La Mettrie,Male
Józef Wybicki,Male
Jędrzej Śniadecki,Unknown
Karl Popper,Male
Keith DeRose,Male
Kenneth P. Winkler,Male
Kilkenny College,Unknown
Laurence BonJour,Female
Leandro Fernández de Moratín,Male
Leslie Lawrenson,Female
Life of Samuel Johnson,Unknown
Louis de Jaucourt,Male
Lucretius,Unknown
Ludwig Wittgenstein,Male
Luigi Galvani,Male
Marquis de Condorcet,Male
Marquis de Sade,Male
Martin Heidegger,Male
Mary Wollstonecraft,Female
Matthew Tindal,Male
Matti Häyry,Male
Maurice Merleau-Ponty,Male
Mervyn Wilson,Male
Michael Dummett,Male
Michael Wandesford,Male
Mikhail Katz,Male
Mikhail Kheraskov,Male
Mikhail Lomonosov,Male
Moses Mendelssohn,Male
Nader El-Bizri,Male
Nelson Goodman,Male
Nicholas Greaves,Male
Nicholas Wolterstorff,Male
Nicolas Chamfort,Male
Nikolay Novikov,Male
Norman Lockhart (priest),Male
Nyāya Sūtras,Unknown
P. F. Strawson,Unknown
Patrick Sheridan (Bishop of Cloyne),Male
Peter D. Klein,Male
Peter Morris (priest),Male
"Philip Smythe, 4th Viscount Strangford",Male
Pierre Bayle,Male
Pierre Beaumarchais,Male
Pierre Duhem,Male
Pierre Prévost (physicist),Male
Pietro Verri,Male
Project Gutenberg,Unknown
R. G. Collingwood,Unknown
Raphael Walsh,Male
Richard Hayes (priest),Male
Richard King (priest),Male
Richard Price,Male
Richard Steele,Male
Richard Watson (philosopher),Male
Richard Woodward (bishop),Male
Robert Adamson (philosopher),Male
Robert Audi,Male
Robert Bellarmine,Male
Robert Boyle,Male
Robert Burns,Male
Robert Dawson (bishop),Male
Robert Downes (bishop),Male
Robert Fogelin,Male
Robert Forward (priest),Male
Robert Hooke,Male
Robert Johnson (bishop),Male
Robert Marshall (Irish judge),Male
Robert Nozick,Male
Robert O'Loughlin,Male
Robert Walpole,Male
Roland Hutchinson,Male
Rudolf Carnap,Male
Samuel Clarke,Male
Samuel Hutchinson,Male
Samuel Johnson,Male
Samuel Johnson (American educator),Male
Samuel von Pufendorf,Male
Samuil Micu-Klein,Male
Saul Kripke,Male
"Sebastião José de Carvalho e Melo, 1st Marquis of Pombal",Male
St George Ashe,Unknown
St Mary le Strand,Unknown
Stanisław August Poniatowski,Male
Stanisław Konarski,Male
Stanisław Staszic,Male
Stephen Lowry,Male
Susan Haack,Female
Susanna Siegel,Female
Theoklitos Farmakidis,Unknown
Theophilos Kairis,Unknown
Theophilus Campbell,Male
Thomas Aquinas,Male
Thomas Barnard,Male
Thomas Clarendon,Male
Thomas Edmund Jessop,Male
Thomas Gough (priest),Male
Thomas Jefferson,Male
Thomas Olphert,Male
Thomas Paine,Male
Thomas Reid,Male
Thomas Wilson (Dean of Dromore),Male
Timothy Williamson,Male
Tobias Pullen,Male
Tom Stoneham,Male
Ulster History Circle,Unknown
Vienna Circle,Female
Vladimir Nabokov,Male
Walter Cope (bishop),Male
Wilfred Orr,Male
Wilhelm von Humboldt,Male
Willard Van Orman Quine,Male
William Alston,Male
William Bennet (bishop),Male
William Cullen,Male
William Godwin,Male
William Jones (Dean of Dromore),Male
William Molyneux,Male
William Moore (priest),Male
William Morton (priest),Male
William Palliser (bishop),Male
"William Pery, 1st Baron Glentworth",Male
William Smyth (Irish bishop),Male
William Todd (priest),Male
William Webbe (priest),Male
William Whiston,Male
William Wynne (priest),Male
"Winkler, Kenneth P.",Unknown
Yogacara,Unknown
Étienne-Gabriel Morelly,Unknown
Étienne Bonnot de Condillac,Unknown
Template:Deans of Derry,Unknown
Template talk:Deans of Derry,Unknown
Category:George Berkeley scholars,Unknown
