Name,Gender
A. J. Ayer,Unknown
Abraham Lincoln,Male
Adam Ferguson,Male
Adam Müller,Male
Adam Smith,Male
Adam Weishaupt,Male
Adamantios Korais,Male
Adi Shankara,Male
Adriaan Koerbagh,Male
Aesthetic Realism,Unknown
Afrikan Spir,Unknown
Al-Farabi,Unknown
Al-Ghazali,Unknown
Albert Camus,Male
Albert Einstein,Male
Alexander Gottlieb Baumgarten,Male
Alexander Pope,Male
Alexander Pruss,Male
Alexander Radishchev,Male
Alexis de Tocqueville,Male
Alexius Meinong,Unknown
Alf Ross,Male
Alfred Deakin,Male
Alfred North Whitehead,Male
Algernon Sidney,Unknown
Ali Akbar Rashad,Male
Ali Shariati,Male
Allen W. Wood,Male
Alvin Goldman,Male
Alvin Plantinga,Male
Amartya Sen,Unknown
Ananda Coomaraswamy,Male
Andrew Brook,Male
Andrés Bello,Male
Andy Slaughter,Male
Anil Gupta (philosopher),Male
Ann McKechin,Female
Anne Robert Jacques Turgot,Female
"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",Male
Anthony Collins (philosopher),Male
Anthony Kenny,Male
Antiochus Kantemir,Unknown
Antoine Augustin Calmet,Male
Antonie van Leeuwenhoek,Female
Antonio Genovesi,Male
Antonio Gramsci,Male
Antonio Negri,Male
Arnold Gehlen,Male
Arthur Schopenhauer,Male
Augustine of Hippo,Female
Avram Mrazović,Male
Axel Hägerström,Male
Ayn Rand,Female
B. F. Skinner,Unknown
B. R. Ambedkar,Unknown
Balthasar Bekker,Male
Barack Obama,Male
Bartosz Brożek,Male
Belo Horizonte,Male
Benedetto Croce,Male
Benito Juárez,Male
Benjamin Constant,Male
Benjamin Franklin,Male
Benjamin N. Cardozo,Male
Benjamin Tucker,Male
Bernard Bolzano,Male
Bernard Crick,Male
Bernard Le Bovier de Fontenelle,Male
Bernard Mandeville,Male
Bernard Nieuwentyt,Male
Bernard Williams,Male
Bertil Ohlin,Male
Bertrand Russell,Male
Bethan Sayed,Female
Bill Etherington,Male
Bill Wilson (Scottish politician),Male
Biographia Literaria,Unknown
Bruno Leoni,Male
Béla Balázs,Male
Carl Friedrich Hagemann,Male
Carl Gustav Jung,Male
Carl Schmitt,Male
Carle Vernet,Unknown
Carlo Cattaneo,Male
Caroline Lucas,Female
Cass Sunstein,Female
Catherine the Great,Female
Cesare Beccaria,Male
Charles Baudelaire,Male
Charles Bonnet,Male
Charles Fourier,Male
Charles Hartshorne,Male
Charles III of Spain,Male
Charles Maurras,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Charles W. Mills,Male
Charles de Gaulle,Male
Chaïm Perelman,Unknown
Chris Mullin (politician),Male
Christiaan Huygens,Male
Christian Daniel Rauch,Male
Christian Garve,Male
Christian Jakob Kraus,Male
Christian Thomasius,Male
Christian Wolff (philosopher),Male
Christine Korsgaard,Female
Christoph Martin Wieland,Male
Christopher Lasch,Male
Claude Adrien Helvétius,Male
Clement Greenberg,Male
Clive Bell,Male
Clive Lewis (politician),Male
Creationism,Unknown
Daniel Dennett,Male
Daniel Jones (phonetician),Male
Dante Alighieri,Male
David Hilbert,Male
David Hume,Male
David Lewis (philosopher),Male
David Lloyd George,Male
David Malet Armstrong,Male
David Ricardo,Male
De re publica,Unknown
Denis Diderot,Male
Denis Fonvizin,Male
Dennis Skinner,Male
Derek Hatton,Male
Derek Parfit,Male
Desiderius Erasmus,Male
Dewi Zephaniah Phillips,Female
Dharma,Unknown
Dick Taverne,Male
Dietrich Bonhoeffer,Male
Dimitrie Cantemir,Male
Domingo Faustino Sarmiento,Male
Donald Davidson (philosopher),Male
Dositej Obradović,Unknown
Doug Naysmith,Male
Dugald Stewart,Male
Duncan Pritchard,Male
Edmund Burke,Male
Edmund Gettier,Male
Eduard Bernstein,Male
Eduard Hanslick,Male
Edward Gibbon,Male
Eleftherios Venizelos,Male
Elin Jones,Female
Emanuel Swedenborg,Male
Emmanuel Chukwudi Eze,Male
Emmanuel Macron,Male
Eric Voegelin,Male
Erich Fromm,Male
Ernest Renan,Male
Ernest Sosa,Male
Ernesto Laclau,Male
Ernst Cassirer,Male
Ernst Haeckel,Male
Ernst Troeltsch,Male
Ethel Mannin,Female
Etiquette,Unknown
Eugen Ehrlich,Male
Evgeny Pashukanis,Male
Ferdinando Galiani,Male
Ferenc Deák (politician),Male
Firmin Abauzit,Male
Francesco Mario Pagano,Male
Francis Bacon,Male
Francis Fukuyama,Male
Francis Hutcheson (philosopher),Male
