Name,Gender
Adam Smith,Male
Aesthetic Realism,Unknown
Alexander Gottlieb Baumgarten,Male
Alexander Lerner,Male
Alexander Pope,Male
Alfred Radcliffe-Brown,Male
Allen Tate,Male
Allenna Leonard,Unknown
Ananda Coomaraswamy,Male
André Breton,Male
Anne Louise Germaine de Staël,Female
Anthony Wilden,Male
Antonio Gramsci,Male
Arthur Schopenhauer,Male
Augustine of Hippo,Female
Ayn Rand,Female
Barbara Leonard Reynolds,Female
Benedetto Croce,Male
Buckminster Fuller,Unknown
Béla Balázs,Male
C. K. Ogden,Unknown
Carl Jung,Male
Charles Augustin Sainte-Beuve,Male
Charles Baudelaire,Male
Charles François (systems scientist),Male
Charles Scott Sherrington,Male
Chaïm Perelman,Unknown
Chinua Achebe,Unknown
Christine de Pizan,Female
Claude Bernard,Male
Claude Lévi-Strauss,Male
Cleanth Brooks,Unknown
Clement Greenberg,Male
Clifford Geertz,Male
Clive Bell,Male
Dante,Male
David Hume,Male
De Inventione,Unknown
De Optimo Genere Oratorum,Unknown
De vulgari eloquentia,Unknown
Denis Diderot,Male
Dorothy Pilley Richards,Female
Edgar Allan Poe,Male
Edmund Burke,Male
Eduard Hanslick,Male
Edward Said,Male
Edward Young,Male
Erich von Holst,Male
Ernst Cassirer,Male
Ernst Gombrich,Male
Ernst von Glasersfeld,Male
F. G. Crookshank,Unknown
F. R. Leavis,Unknown
Francesco De Sanctis,Male
Francis Bacon,Male
Francis Heylighen,Male
Francis Hutcheson (philosopher),Male
Francisco Varela,Male
Frederic Vester,Male
Friedrich Nietzsche,Male
Friedrich Schiller,Male
Friedrich Wilhelm Joseph Schelling,Male
Félix Guattari,Male
Gaston Bachelard,Male
Genevieve Bell,Female
Genre criticism,Unknown
Geoffrey Vickers,Male
Georg Wilhelm Friedrich Hegel,Male
George Orwell,Male
George Santayana,Male
Georges Bataille,Male
Georges Poulet,Male
Giacomo Leopardi,Male
Giambattista Vico,Male
Gilles Deleuze,Male
Giorgio Vasari,Male
Gordon Pask,Male
Gordon S. Brown,Male
Gregory Bateson,Male
György Lukács,Male
Hans Urs von Balthasar,Male
Harold Bloom,Male
Hayden White,Male
Heinz von Foerster,Male
Herbert Marcuse,Male
Hu Shih,Unknown
Humberto Maturana,Male
Hélène Cixous,Female
Igor Aleksander,Male
Immanuel Kant,Male
J. P. Postgate,Unknown
Jacque Fresco,Female
Jacques Derrida,Male
Jacques Lacan,Male
Jacques Maritain,Male
Jacques Rancière,Male
Jakob Johann von Uexküll,Male
James Russell Lowell,Male
Jason Jixuan Hu,Male
Jay Wright Forrester,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jennifer Wilby,Female
Johann Joachim Winckelmann,Male
Johann Wolfgang von Goethe,Male
John Crowe Ransom,Male
John Dewey,Male
John Dryden,Male
John Keats,Male
John Locke,Male
John N. Warfield,Male
John Ruskin,Male
John Stuart Mill,Male
Joseph Addison,Male
Joshua Reynolds,Male
José Ortega y Gasset,Male
Julia Kristeva,Female
Kairos,Unknown
Kama,Female
Karl Marx,Male
Karl Wilhelm Friedrich Schlegel,Male
Kenneth Burke,Male
Kevin Warwick,Male
Leon Battista Alberti,Male
Leon Trotsky,Male
Liu Xie,Unknown
Logos,Unknown
Lu Ji (Shiheng),Unknown
M. H. Abrams,Unknown
"Magdalene College, Cambridge",Female
Maleyka Abbaszadeh,Unknown
Margaret Boden,Female
Margaret Mead,Female
Marian Mazur,Male
Marshall McLuhan,Male
Martin Heidegger,Male
Mary Wollstonecraft,Female
Matthew Arnold,Male
Maurice Merleau-Ponty,Male
Michel Foucault,Male
Mikhail Bakhtin,Male
Mina Loy,Female
Murray Krieger,Male
N. Katherine Hayles,Unknown
Nelson Goodman,Male
Nicolas Boileau-Despréaux,Male
Niklas Luhmann,Male
Noam Chomsky,Male
Norbert Wiener,Male
Octavio Paz,Male
Oscar Wilde,Male
Oswald de Andrade,Male
Panegyrici Latini,Unknown
Paul Klee,Male
Paul Ricoeur,Male
Paul Valéry,Male
Paul de Man,Male
Percy Bysshe Shelley,Male
Petro Grigorenko,Male
Philip Sidney,Male
Pierre Corneille,Male
Protagoras,Unknown
Qian Xuesen,Unknown
R. G. Collingwood,Unknown
R. P. Blackmur,Unknown
R. S. Crane,Unknown
Ralph Waldo Emerson,Male
Ranulph Glanville,Unknown
Raymond Williams,Male
Rhetoric to Alexander,Unknown
Rhetorica ad Herennium,Unknown
Rhythm,Unknown
Richard M. Weaver,Male
Robert Trappl,Male
Roger Fry,Male
Roger Scruton,Male
Roland Barthes,Male
Roman Jakobson,Male
Samuel Johnson,Male
Samuel Taylor Coleridge,Male
Sergei P. Kurdyumov,Male
Sigmund Freud,Male
Stafford Beer,Male
Stephen Toulmin,Male
Stuart Kauffman,Male
Stuart Umpleby,Male
Stump speech,Unknown
Susanne Langer,Female
Synergetics (Haken),Unknown
T. E. Hulme,Unknown
T. S. Eliot,Unknown
TED (conference),Unknown
Theodor W. Adorno,Male
Thomas Aquinas,Male
Thomas Carlyle,Male
Thomas Hobbes,Male
Thomas Love Peacock,Male
Tristan Tzara,Male
Valentin Turchin,Male
Valentino Braitenberg,Male
Viktor Shklovsky,Male
Virginia Woolf,Female
W. K. Wimsatt,Unknown
W. Ross Ashby,Unknown
Walter Benjamin,Male
Walter Bradford Cannon,Male
Walter Brueggemann,Male
Walter J. Ong,Male
Walter Pater,Male
Walter Pitts,Male
Warren Sturgis McCulloch,Male
Wayne C. Booth,Male
Wilhelm von Humboldt,Male
William Blake,Male
William Empson,Male
William Grey Walter,Male
William Wordsworth,Male
Wolfgang Iser,Male
