Name,Gender
A. C. Grayling,Unknown
A. J. Ayer,Unknown
Adi Shankara,Male
Afrikan Spir,Unknown
Alan Turing,Male
Albert Camus,Male
Alexander Bain (philosopher),Male
Alexander Pruss,Male
Alexander Rosenberg,Male
Alfred I. Tauber,Male
Alfred Kinsey,Male
Alfred North Whitehead,Male
Alfred Tarski,Male
Ali Akbar Rashad,Male
Alice Crary,Female
Alvin Goldman,Male
Alvin Plantinga,Male
Andrew Whiten,Male
Andy Clark,Male
Anil Seth,Male
Annaka Harris,Unknown
Anne Campbell (academic),Female
Anne Fernald,Female
Anthony Kenny,Male
Anthony Stevens (Jungian analyst),Male
Antoine Augustin Calmet,Male
Antonio Damasio,Male
Arif Ahmed (philosopher),Male
Arthur Compton,Male
Arthur Schopenhauer,Male
Augustine of Hippo,Female
Aurelio José Figueredo,Male
Ayaan Hirsi Ali,Unknown
Barry Stroud,Male
Bas van Fraassen,Male
Benjamin Libet,Male
Bernard Baars,Male
Bernard Crespi,Male
Bernard Williams,Male
Bertrand Russell,Male
Breaking the Spell (Dennett book),Unknown
Brian MacWhinney,Male
Brian O'Shaughnessy (philosopher),Male
Bruce J. Ellis,Male
C. D. Broad,Unknown
Carel van Schaik,Male
Carl Gustav Hempel,Male
Carl Jung,Male
Carla Fehr,Female
Casimir Lewy,Male
Charles Augustus Strong,Male
Charles Darwin,Male
Charles Hartshorne,Male
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Christine Korsgaard,Female
Christof Koch,Male
Christopher Badcock,Male
Christopher Boehm,Male
Christopher Hitchens,Male
Christopher Peacocke,Male
Claus Wedekind,Male
Colin McGinn,Male
Consciousness Explained,Unknown
Cora Diamond,Female
Creationism,Unknown
Damasio's theory of consciousness,Unknown
Dan Barker,Male
Dan Sperber,Male
Daniel Fessler,Male
Daniel Nettle,Male
Darcia Narvaez,Unknown
Darwin's Angel,Unknown
Darwin's Dangerous Idea,Unknown
David Bohm,Male
David Buss,Male
David C. Geary,Male
David Chalmers,Male
David F. Bjorklund,Male
David Hull (philosopher),Male
David Hume,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David P. Schmitt,Male
David Papineau,Male
David Pearce (philosopher),Male
David Perrett,Male
David Sloan Wilson,Male
Denis Diderot,Male
Denis Dutton,Male
Denis Noble,Male
Derek Parfit,Male
Desiderius Erasmus,Male
Dewi Zephaniah Phillips,Female
Dharma,Unknown
Diana Fleischman,Female
Dominic D. P. Johnson,Male
Donald Brown (anthropologist),Male
Donald D. Hoffman,Male
Donald Davidson (philosopher),Male
Donald Symons,Male
Donald T. Campbell,Male
Douglas Hofstadter,Male
Douglas T. Kenrick,Male
E. O. Wilson,Unknown
Edmund Burke,Male
Edmund Gettier,Male
Edmund Husserl,Male
Elbow Room (Dennett book),Unknown
Elliott Sober,Male
Ernest Nagel,Male
Ernest Sosa,Male
Ernst Cassirer,Male
Ernst Fehr,Male
Ernst Haeckel,Male
Ernst Mayr,Male
Ernst Troeltsch,Male
Erwin Schrödinger,Male
Eugene Wigner,Male
Francis Bacon,Male
Francis Crick,Male
Francisco J. Ayala,Male
Francisco Varela,Male
Frank Cameron Jackson,Male
Frank P. Ramsey,Male
Frank Sulloway,Male
Franz Brentano,Male
François Jacob,Male
Fred Dretske,Male
Friedrich Nietzsche,Male
Friedrich Schleiermacher,Male
Friedrich Waismann,Male
Frithjof Schuon,Male
From Bacteria to Bach and Back,Unknown
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Gabriel Marcel,Male
Gad Saad,Male
Galen Strawson,Male
Geoffrey Miller (psychologist),Male
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Christopher Williams,Male
George Henry Lewes,Male
George I. Mavrodes,Male
George Santayana,Male
Georges Rey,Male
Gerald Edelman,Male
Gerard Verschuuren,Male
Gerd Gigerenzer,Male
Gilbert Ryle,Male
Giovanni Pico della Mirandola,Male
Giulio Tononi,Male
Giuseppe Peano,Male
Glenn Wilson (psychologist),Male
Gordon G. Gallup,Male
Gordon Orians,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Greta Christina,Female
Guggenheim Fellowships,Unknown
Hans Hahn (mathematician),Male
Hans Jonas,Male
Hans Reichenbach,Male
Harald Høffding,Male
Harry Harlow,Male
Helen Longino,Female
Henri Bergson,Male
Henri Poincaré,Male
Henry Margenau,Male
Henry Plotkin,Male
Herbert Gintis,Male
Humberto Maturana,Male
Ian Hacking,Male
Immanuel Kant,Male
Imre Lakatos,Male
Irwin Silverman,Male
Isaac Newton,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaak Panksepp,Male
Jaakko Hintikka,Male
Jacques Monod,Male
Jaegwon Kim,Unknown
James F. Conant,Male
James R. Griesemer,Male
James VI and I,Male
Jane Maienschein,Female
Jared Diamond,Male
Jay Belsky,Male
Jean Meslier,Male
Jean Nicod Prize,Male
Jerome H. Barkow,Male
Jerry Coyne,Male
Jerry Fodor,Male
Jesse Bering,Male
Joan Roughgarden,Female
Johann Gottfried Herder,Male
John Beatty (philosopher),Male
John Bowlby,Male
John Brockman (literary agent),Male
John Crook (ethologist),Male
John D. Hawks,Male
John Dupré,Male
John Eccles (neurophysiologist),Male
John Haugeland,Male
John Locke,Male
John Maynard Smith,Male
John McDowell,Male
John Polkinghorne,Male
John Rawls,Male
John Searle,Male
John Tooby,Male
Jonas Salk,Male
Jonathan Haidt,Male
Josep Call,Male
Joseph Bulbulia,Male
Joseph Carroll (scholar),Male
Joseph Henrich,Male
Joseph Levine (philosopher),Male
Joseph Maréchal,Male
Joshua Tybur,Male
Judith Rich Harris,Female
Julian Baggini,Male
Julian Jaynes,Male
Justin L. Barrett,Male
Karl Barth,Male
Karl Christian Friedrich Krause,Male
Karl H. Pribram,Male
Karl Marx,Male
Karl Pearson,Male
Karl Popper,Male
Katherine Nelson,Female
Keith Donnellan,Male
Keith Frankish,Male
Kenneth M. Sayre,Male
Kim Sterelny,Female
Konrad Lorenz,Male
Kurt Gödel,Male
Kurt Koffka,Male
Larry Laudan,Male
Lawrence Krauss,Male
Lawrence Weiskrantz,Male
Lev Shestov,Male
Lindley Darden,Male
Loyal Rue,Male
Ludwig Wittgenstein,Male
Margie Profet,Female
Margo Wilson,Female
Mario Bunge,Male
Marjorie Grene,Female
Mark Flinn,Male
Mark Schaller,Male
Mark van Vugt,Male
Martie Haselton,Unknown
Martin Buber,Male
Martin Daly (professor),Male
Martin Heidegger,Male
Martin Lings,Male
Marvin Minsky,Male
Mary Ainsworth,Female
Mary Jane West-Eberhard,Female
Maurice Merleau-Ponty,Male
Max Bennett (scientist),Male
