Name,Gender
A. J. Ayer,Unknown
Adam Smith,Male
Al-Farabi,Unknown
Alan Turing,Male
Albert Camus,Male
Alciphron (book),Unknown
Alexander Bain (philosopher),Male
Alexander Pruss,Male
Alexis de Tocqueville,Male
Alfred Tarski,Male
Ali Shariati,Male
Alice Crary,Female
Alvin Goldman,Male
Alvin Plantinga,Male
Andy Clark,Male
Antonio Gramsci,Male
Antonio Negri,Male
Arif Ahmed (philosopher),Male
Arnold Gehlen,Male
Augustine of Hippo,Female
B. F. Skinner,Unknown
Barry Stroud,Male
Bas van Fraassen,Male
Benjamin Franklin,Male
Benjamin Lee Whorf,Male
Bernard Williams,Male
Bertrand Russell,Male
C. D. Broad,Unknown
Carl Gustav Hempel,Male
Casimir Lewy,Male
Charles Fourier,Male
Charles Taylor (philosopher),Male
Christine Korsgaard,Female
Christopher Lasch,Male
Chrysippus,Unknown
Claude Adrien Helvétius,Male
Claude Lancelot,Male
Cora Diamond,Female
Daniel Dennett,Male
Dante Alighieri,Male
David Chalmers,Male
David Hume,Male
David Koepsell,Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
Derek Parfit,Male
Diodorus Cronus,Unknown
Donald Davidson (philosopher),Male
Douglas Hofstadter,Male
Edmund Burke,Male
Edmund Gettier,Male
Edmund Husserl,Male
Edward Sapir,Male
Elizabeth Anscombe,Female
Eric Voegelin,Male
Erich Fromm,Male
Ernest Nagel,Male
Ernest Renan,Male
Ernest Sosa,Male
Frank Cameron Jackson,Male
Frank P. Ramsey,Male
Franz Boas,Male
Franz Brentano,Male
Fred Dretske,Male
Friedrich Engels,Male
Friedrich Nietzsche,Male
Friedrich Waismann,Male
Fritz Mauthner,Male
G.C.J. Midgley,Unknown
G.E.M. Anscombe,Unknown
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
Gary Marcus,Male
Gemistos Plethon,Unknown
Gender Trouble,Unknown
Georg Simmel,Male
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Santayana,Male
Giambattista Vico,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giorgio Agamben,Male
Giovanni Gentile,Male
Giuseppe Peano,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Gustave Le Bon,Male
Guy Debord,Male
Hannah Arendt,Female
Hans-Hermann Hoppe,Unknown
Hans Hahn (mathematician),Male
Hans Reichenbach,Male
Henri Bergson,Male
Henry David Thoreau,Male
Herbert Marcuse,Male
Herbert Spencer,Male
Howard Zinn,Male
Ian Hacking,Male
Ibn Khaldun,Unknown
Ibn Tufayl,Unknown
Immanuel Kant,Male
Isaiah Berlin,Male
J.L. Austin,Unknown
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jacques Derrida,Male
Jacques Maritain,Male
Jaegwon Kim,Unknown
James F. Conant,Male
Janet Napolitano,Female
Jean-Jacques Rousseau,Unknown
Jean Baudrillard,Male
Jean Nicod Prize,Male
Jeremy Bentham,Male
Jerry Fodor,Male
Johann Gottfried Herder,Male
Johann Gottlieb Fichte,Male
John Calvin,Male
John Dewey,Male
John Dupré,Male
John Gideon Searle,Male
John Locke,Male
John McDowell,Male
John Milton,Male
John Preston Searle,Male
John Rawls,Male
John Ruskin,Male
John Serle (disambiguation),Male
John Stuart Mill,Male
John W. Searle,Male
John Wilkins,Male
Joseph McCarthy,Male
Josiah Royce,Male
José Ortega y Gasset,Male
Judith Butler,Female
Jürgen Habermas,Male
Karl Marx,Male
Karl Polanyi,Male
Karl Popper,Male
Keith Donnellan,Male
Kurt Gödel,Male
Leonard Bloomfield,Male
Leonardo Bruni,Male
Leszek Kołakowski,Male
Lev Vygotsky,Male
Louis de Bonald,Male
Luciano Floridi,Male
Ludwig Wittgenstein,Male
Mahatma Gandhi,Unknown
Marquis de Condorcet,Male
Martha Nussbaum,Female
Martin Heidegger,Male
Martin Luther,Male
Marvin Minsky,Male
Matthew Arnold,Male
Maurice Merleau-Ponty,Male
Max Stirner,Male
Max Weber,Male
Michael Dummett,Male
Michael Oakeshott,Male
Michael Tye (philosopher),Male
Michael Walzer,Male
Michel Foucault,Male
Michel de Montaigne,Male
Moritz Schlick,Male
Morton White,Male
Muhammad,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Ned Block,Male
Neil Gross,Male
Nelson Goodman,Male
Nicholas Rescher,Male
Nicholas Wolterstorff,Male
Nick Bostrom,Male
Nick Land,Male
Noam Chomsky,Male
Norman Malcolm,Male
Oswald Spengler,Male
Otto Neurath,Male
P. F. Strawson,Unknown
Patricia Churchland,Female
Patrick Suppes,Male
Paul Churchland,Male
Paul Ricœur,Male
Paul Tillich,Male
Paul Watzlawick,Male
Peter Galison,Male
Peter Geach,Male
Peter Hacker,Male
Peter Kropotkin,Male
Peter Singer,Male
Peter Strawson,Male
Peter van Inwagen,Male
Pierre Bourdieu,Male
