Name,Gender
Agapius of Athens,Unknown
Al-Farabi,Unknown
Alan Turing,Male
Albert Camus,Male
Alberto Giacometti,Male
Aleksei Losev,Male
Alexander Bain (philosopher),Male
Alexander Peloplaton,Male
Alexandre Kojève,Male
Alexandre Koyré,Male
Alfred Schutz,Male
Alvin Goldman,Male
Alvin Plantinga,Male
Amelius,Male
Ammonius Hermiae,Unknown
Ammonius Saccas,Unknown
Andy Clark,Male
Anna-Teresa Tymieniecka,Unknown
Anne Conway (philosopher),Female
Antonio Gramsci,Male
Antonio Negri,Male
Aristonymus of Athens,Unknown
Arthur Schopenhauer,Male
Augustine of Hippo,Female
Barry Smith (academic),Male
Barry Smith (ontologist),Male
Battle of Verdun,Unknown
Benedetto Croce,Male
Benjamin Fondane,Male
Bernard Bolzano,Male
Bernard Stiegler,Male
Bernard of Chartres,Male
Bruno Latour,Male
C. D. Broad,Unknown
Carl Schmitt,Male
Carl Stumpf,Male
Christoph von Sigwart,Male
Claire Ortiz Hill,Female
Claude Lévi-Strauss,Male
Colin Wilson,Male
Constantin Carathéodory,Male
Crispin Wright,Male
Cristoforo Landino,Male
Damascius,Unknown
Dan Zahavi,Male
Daniel Dennett,Male
Dasein,Unknown
David Carr (phenomenology scholar),Male
David Chalmers,Male
David Hume,Male
David Kaplan (philosopher),Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David the Invincible,Male
Demetrius of Amphipolis,Male
Derek Parfit,Male
Descriptive psychology (Brentano),Unknown
Deutsche Akademie,Unknown
Donald Davidson (philosopher),Male
Dr. phil. hab.,Unknown
Edith Stein,Female
Edward N. Zalta,Male
Edward Said,Male
Emanuel Swedenborg,Male
Emmanuel Levinas,Male
Emmanuel Lévinas,Male
Ernst Cassirer,Male
Ernst Schröder (mathematician),Male
Eustathius of Cappadocia,Unknown
Festschrift,Unknown
Frank Cameron Jackson,Male
Frantz Fanon,Male
Franz Brentano,Male
Franz Kafka,Male
Franz Rosenzweig,Male
Fred Dretske,Male
Fredric Jameson,Male
Freiburg im Breisgau,Unknown
Friedrich Engels,Male
Friedrich Nietzsche,Male
Friedrich Paulsen,Male
Friedrich Wilhelm Joseph Schelling,Male
Félix Guattari,Male
G. E. M. Anscombe,Unknown
G. E. Moore,Unknown
G. W. Leibniz,Unknown
Gabriel Marcel,Male
Gaston Bachelard,Male
Gemistos Plethon,Unknown
Genera,Unknown
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
Georges Bataille,Male
Gerhard Ritter,Male
Gerhart Husserl,Male
Gilbert Ryle,Male
Gilbert de la Porrée,Male
Gilles Deleuze,Male
Giordano Bruno,Male
Giorgio Agamben,Male
Giovanni Gentile,Male
Giovanni Pico della Mirandola,Male
Gottfried Wilhelm Leibniz,Male
Guillermo E. Rosado Haddock,Male
Guy Debord,Male
György Lukács,Male
Hannah Arendt,Female
Hans Blumenberg,Male
Hans Köchler,Male
Hegias,Unknown
Heidegger,Unknown
Henri Bergson,Male
Henri Lefebvre,Male
Henry More,Male
Herbert Marcuse,Male
Herbert Spiegelberg,Male
Herman Van Breda,Male
Hermann Grassmann,Male
Hermann Lotze,Male
Hermann Weyl,Male
Hélène Cixous,Female
Immanuel Kant,Male
Ivan Ilyin,Male
J. L. Austin,Unknown
Jacob Golomb,Male
Jacob Klein (philosopher),Male
Jacques Derrida,Male
Jacques Lacan,Male
Jacques Rancière,Male
Jean-Luc Nancy,Male
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jerry Fodor,Male
Jitendra Nath Mohanty,Unknown
Johann Gottlieb Fichte,Male
John-Paul II,Unknown
John Locke,Male
John McDowell,Male
John Philoponus,Male
John Scotus Eriugena,Male
John Searle,Male
John Stuart Mill,Male
Joseph B. Soloveitchik,Male
Josiah Royce,Male
José Ortega y Gasset,Male
Judith Butler,Female
Julia Kristeva,Female
Julian (emperor),Male
Jürgen Habermas,Male
Karl Barth,Male
Karl Jaspers,Male
Karl Marx,Male
Karl Weierstrass,Male
Kazimierz Ajdukiewicz,Male
Kurt Gödel,Male
Lacydes of Cyrene,Unknown
Leo Königsberger,Male
Leo Strauss,Male
Leopold Kronecker,Male
Leszek Kołakowski,Male
Lev Shestov,Male
Louis Althusser,Male
Ludwig Landgrebe,Male
Ludwig Wittgenstein,Male
Mark Fisher,Male
Marsilio Ficino,Male
Martin Buber,Male
