Name,Gender
A. Philip Randolph,Unknown
Abraham Lincoln,Male
Adam Clayton Powell Jr.,Male
Adlai Stevenson II,Unknown
Al Gore,Male
Al Sharpton,Male
Al Smith,Male
Alan Dershowitz,Male
Alan Prince,Male
Alfred Kinsey,Male
Alvin Liberman,Male
Andrew Copson,Male
Andrew Cuomo,Male
Andrew Sullivan,Male
Andrew Whiten,Male
Angela Saini,Female
Anne Campbell (academic),Female
Anne Fernald,Female
Anthony Stevens (Jungian analyst),Male
Arianna Huffington,Female
Arthur Garfield Hays,Male
Arthur M. Schlesinger Jr.,Male
Aurelio José Figueredo,Male
B. A.,Unknown
B. F. Skinner,Unknown
Barack Obama,Male
Barbara Jordan,Female
Barney Frank,Male
Bella Abzug,Female
Benjamin Franklin,Male
Benjamin N. Cardozo,Male
Benjamin Rush,Male
Bernard Crespi,Male
Betty Friedan,Female
Bibcode (identifier),Unknown
Bill Clinton,Male
Bill Maher,Male
Bill Moyers,Male
Brennan Center For Justice,Male
Brian MacWhinney,Male
Bruce J. Ellis,Male
Carel van Schaik,Male
Carl Sagan Award for Public Appreciation of Science,Male
Charles Darwin,Male
Charles Hamilton Houston,Male
Charles Yang (linguist),Male
Chris Hayes,Male
Chris Murphy,Male
Christine Kenneally,Female
Christopher Badcock,Male
Christopher Boehm,Male
Claus Wedekind,Male
Coretta Scott King,Unknown
D. J. Grothe,Unknown
Dan Sperber,Male
Daniel Dennett,Male
Daniel Fessler,Male
Daniel Levitin,Male
Daniel Nettle,Male
Darcia Narvaez,Unknown
David Buss,Male
David C. Geary,Male
David F. Bjorklund,Male
David Hume,Male
David Marr (neuroscientist),Male
David P. Schmitt,Male
David Pakman,Male
David Perrett,Male
David Sloan Wilson,Male
David Souter,Male
David Wengrow,Male
Dean Withers,Male
Denis Dutton,Male
Diana Fleischman,Female
Diane McGuinness,Female
Dolores Huerta,Female
Dominic D. P. Johnson,Male
Donald Brown (anthropologist),Male
Donald Symons,Male
Donald T. Campbell,Male
Dorr Rebellion,Unknown
Douglas T. Kenrick,Male
E. O. Wilson,Unknown
Earl Warren,Male
Ed Markey,Male
Edith Abbott,Female
Edmund Burke,Male
Eleanor Roosevelt,Female
Elena Kagan,Female
Elizabeth Cady Stanton,Female
Elizabeth Spelke,Female
Elizabeth Warren,Female
Ella Baker,Female
Eric Lenneberg,Male
Ernst Fehr,Male
Eugene McCarthy,Male
Ezra Klein,Male
Fannie Lou Hamer,Female
Fiorello La Guardia,Male
Frank Sulloway,Male
Franklin D. Roosevelt,Male
Frederick Douglass,Male
Gad Saad,Male
Gavin Newsom,Male
Gaylord Nelson,Male
Geoffrey Miller (psychologist),Male
Geoffrey Sampson,Male
George Armitage Miller,Male
George Christopher Williams,Male
George McGovern,Male
Gerd Gigerenzer,Male
Gifford Lectures,Male
Glenn Wilson (psychologist),Male
Gloria Steinem,Female
Gordon G. Gallup,Male
Gordon Orians,Male
Gore Vidal,Male
Great Ape language,Unknown
Harper Perennial,Male
Harry Blackmun,Male
Harry Harlow,Male
Harry Reid,Male
Harry S. Truman,Male
Harvey Milk,Male
Henry A. Wallace,Male
Henry Clay,Male
Henry David Thoreau,Male
Henry Plotkin,Male
Henry Steele Commager,Male
Herbert Croly,Male
Herbert Gintis,Male
Hillary Clinton,Female
Homi K. Bhabha,Unknown
Howard Dean,Male
Hubert Humphrey,Male
Ida B. Wells,Female
Igor Aleksander,Male
Immanuel Kant,Male
Irving Howe,Male
Irwin Silverman,Male
Jaak Panksepp,Male
Jacob K. Javits,Male
Jamelle Bouie,Unknown
James Carville,Male
James Farmer,Male
James Madison,Male
Jane Addams,Female
Jared Diamond,Male
Jay Belsky,Male
Jeffrey Elman,Male
Jeffrey Epstein,Male
Jerome H. Barkow,Male
Jerry Brown,Male
Jerry Coyne,Male
Jesse Bering,Male
Jesse Jackson,Male
Jim Clyburn,Male
Jimmy Carter,Male
Jimmy Kimmel,Male
Joe Biden,Male
John Adams,Male
John Bowlby,Male
John Crook (ethologist),Male
John D. Hawks,Male
John Dewey,Male
John F. Kennedy,Male
John Kenneth Galbraith,Male
John Kerry,Male
John Lewis,Male
John Lindsay,Male
John Marshall Harlan,Male
John Oliver,Male
John Paul Stevens,Male
John Rawls,Male
John Tooby,Male
Jon Stewart,Male
Jonathan Chait,Male
Jonathan Haidt,Male
Josep Call,Male
Joseph Bulbulia,Male
Joseph Carroll (scholar),Male
