Name,Gender
A. C. Grayling,Unknown
A. J. Ayer,Unknown
Adam Smith,Male
Aidan Nichols,Male
Alan Turing,Male
Alciphron (book),Unknown
Alexander Bain (philosopher),Male
Alexander Pruss,Male
Alexius Meinong,Unknown
Alfonso Muzzarelli,Male
Alfred Delp,Male
Alfred North Whitehead,Male
Alfred Tarski,Male
Alice Crary,Female
Alice von Hildebrand,Female
Alphonsus Liguori,Male
Alvin Goldman,Male
Alvin Plantinga,Male
Andy Clark,Male
Anthony Kenny,Male
Anthony of Padua,Male
Antonio Rosmini,Male
António Vieira,Male
Arif Ahmed (philosopher),Male
Arthur Schopenhauer,Male
Athanasius of Alexandria,Unknown
Augustine of Hippo,Female
Baltasar Gracián,Male
Barry Stroud,Male
Bas van Fraassen,Male
Basil of Caesarea,Male
Benedict of Nursia,Male
Benjamin Lee Whorf,Male
Bernard Bolzano,Male
Bernard Lonergan,Male
Bernard Williams,Male
Bernard of Clairvaux,Male
Bertrand Russell,Male
Bonnie G. Smith,Female
Bruno Lanteri,Male
C. D. Broad,Unknown
C. S. Lewis,Unknown
Carl Gustav Hempel,Male
Carlo Maria Martini,Male
Casimir Lewy,Male
Catherine of Siena,Female
Catholic Bible,Unknown
Charles Sanders Peirce,Male
Charles Taylor (philosopher),Male
Christian Humanism,Male
Christian Wolff (philosopher),Male
Christine Korsgaard,Female
Chrysippus,Unknown
Claude Lancelot,Male
Clement Mary Hofbauer,Male
Colin McGinn,Male
Cora Diamond,Female
Cornelius Jansen,Male
Crispin Wright,Male
D. Z. Phillips,Unknown
Dale Jacquette,Male
Daniel Dennett,Male
Dante Alighieri,Male
David Chalmers,Male
David Edmonds (philosopher),Male
David Hume,Male
David Kaplan (philosopher),Male
David Lewis (philosopher),Male
David Malet Armstrong,Male
David Pinsent,Male
Decretum Gratiani,Unknown
Derek Brewer,Male
Derek Parfit,Male
Devotio Moderna,Unknown
Diana Tietjens Meyers,Female
Dietrich Bonhoeffer,Male
Dietrich von Hildebrand,Male
Diodorus Cronus,Unknown
Donald Davidson (philosopher),Male
Dorothy Day,Female
Désiré-Joseph Mercier,Unknown
Edith Stein,Female
Edmund Gettier,Male
Edmund Husserl,Male
Edward N. Zalta,Male
Edward Sapir,Male
Edward Schillebeeckx,Male
Emmanuel Mounier,Male
Ephrem the Syrian,Male
Ernest Nagel,Male
Ernest Sosa,Male
Etiquette,Unknown
Francis Michael Longstreth Thompson,Male
Francis Skinner,Male
Francis Xavier,Male
Francis de Sales,Male
Francis of Assisi,Male
Francisco Suárez,Male
Francisco de Osuna,Male
Francisco de Vitoria,Male
Frank Cameron Jackson,Male
Frank P. Ramsey,Male
Franz Boas,Male
Franz Brentano,Male
François Fénelon,Male
Fred Dretske,Male
Frederick Copleston,Male
Friedrich Nietzsche,Male
Friedrich Waismann,Male
Friedrich von Hügel,Male
Fritz Mauthner,Male
Félicité de La Mennais,Female
G. E. Moore,Unknown
G. H. von Wright,Unknown
G. K. Chesterton,Unknown
Gabriel Marcel,Male
Gaetano Sanseverino,Male
Gareth Evans (philosopher),Male
Georg Wilhelm Friedrich Hegel,Male
George Berkeley,Male
George Sayer (biographer),Male
George Tyrrell,Male
Georges Bernanos,Male
Giambattista Vico,Male
Gilbert Ryle,Male
Gilles Deleuze,Male
Giovanni Botero,Male
Giovanni Pico della Mirandola,Male
Giuseppe Peano,Male
Giuseppe Pecci,Male
Gordon Park Baker,Male
Gottfried Wilhelm Leibniz,Male
Graham Priest,Male
Gregory of Narek,Male
Gustavo Gutiérrez,Male
Hans Hahn (mathematician),Male
Hans Küng,Male
Hans Reichenbach,Male
Hans Urs von Balthasar,Male
Harry S. Truman,Male
Haus Wittgenstein,Unknown
Henri Bergson,Male
Henri Daniel-Rops,Male
Henri Nouwen,Male
Henri de Lubac,Male
Henry Sidgwick,Male
Henry Suso,Male
Hermann Lotze,Male
Hugo Kołłątaj,Male
Hywel David Lewis,Male
Ian Hacking,Male
Ibn Khaldun,Unknown
Ignaz von Döllinger,Male
Immanuel Kant,Male
Isaac Newton,Male
J. J. C. Smart,Unknown
J. L. Austin,Unknown
J. L. Mackie,Unknown
Jaakko Hintikka,Male
Jacques Derrida,Male
Jacques Maritain,Male
Jaegwon Kim,Unknown
James F. Conant,Male
Jane Heal,Female
Janet E. Smith,Female
Jean-Jacques Olier,Unknown
Jean-Paul Sartre,Male
Jean Baudrillard,Male
Jean Buridan,Male
Jean Daniélou,Male
Jean Guitton,Male
Jean Vanier,Male
Jenny Teichman,Female
Jeremy Bentham,Male
Jerome,Male
Jerry Fodor,Male
Johann Baptist Metz,Male
Johann Eck,Male
Johann Gottfried Herder,Male
Johann Michael Sailer,Male
Johannes Tauler,Male
John Cassian,Male
John Chrysostom,Male
John Climacus,Male
John Dewey,Male
John Dupré,Male
John Finnis,Male
John Fisher,Male
John Haldane (philosopher),Male
John Henry Newman,Male
John Locke,Male
John Maynard Keynes,Male
John McDowell,Male
John Perry (philosopher),Male
John Rawls,Male
John Scotus Eriugena,Male
John Searle,Male
John Stuart Mill,Male
John Wilkins,Male
John of Damascus,Male
John of the Cross,Male
John of Ávila,Male
John van Ruysbroeck,Male
Josef Pieper,Male
Joseph Butler,Male
Joseph Görres,Male
Joseph Hergenröther,Male
Joseph Maréchal,Male
Joseph de Maistre,Male
Joxe Azurmendi,Male
Juan Caramuel y Lobkowitz,Male
Juan Donoso Cortés,Male
Juan de Mariana,Male
Julia Driver,Female
Julian of Norwich,Male
Karl Barth,Male
Karl Popper,Male
Karl Rahner,Male
Karl Wittgenstein,Male
Keith Donnellan,Male
Kurt Gödel,Male
Lawrence of Brindisi,Male
Leonard Bloomfield,Male
Lev Vygotsky,Male
Louis Thomassin,Male
Louis de Bonald,Male
Lucretius,Unknown
Ludwig Wittgenstein,Male
Luigi Taparelli,Male
Luis de León,Male
Luis de Molina,Male
Marcel Lefebvre,Male
Margaret Stonborough-Wittgenstein,Female
Maria Gaetana Agnesi,Female
Marie-Dominique Chenu,Unknown
Marie-Joseph Lagrange,Female
Marshall McLuhan,Male
Marsilio Ficino,Male
Martha Nussbaum,Female
Martin Heidegger,Male
Martin of Braga,Male
Marvin Minsky,Male
Mary Warnock,Female
Mary of Jesus of Ágreda,Female
Matthias Joseph Scheeben,Male
Maurice Blondel,Male
Maurice Merleau-Ponty,Male
Meister Eckhart,Unknown
Michael Dummett,Male
Michael Slote,Male
Michael Tye (philosopher),Male
Michael Walzer,Male
Michał Heller,Male
Moritz Schlick,Male
Mortimer J. Adler,Male
Morton White,Male
Nancy Cartwright (philosopher),Female
Nathan Salmon,Male
Ned Block,Male
Nelson Goodman,Male
Nestorianism,Unknown
